('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         447995 function calls (432797 primitive calls) in 1.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      711    0.001    0.000    0.712    0.001 ssl.py:1090(read)
      711    0.001    0.000    0.714    0.001 ssl.py:1230(recv_into)
      711    0.711    0.001    0.711    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      690    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      669    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      665    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      665    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      620    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      620    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
  608/591    0.000    0.000    0.003    0.000 typing.py:271(inner)
      586    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      566    0.000    0.000    0.000    0.000 typing.py:664(_is_dunder)
      566    0.000    0.000    0.001    0.000 typing.py:712(__setattr__)
      559    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      557    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
      557    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      528    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      492    0.000    0.000    0.003    0.000 enum.py:358(__call__)
      488    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      488    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      482    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      430    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      427    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      425    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      425    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
      425    0.000    0.000    0.002    0.000 element.py:934(__new__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      350    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      337    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      337    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      316    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      302    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      292    0.004    0.000    0.071    0.000 {built-in method builtins.__build_class__}
      291    0.000    0.000    0.082    0.000 re.py:250(compile)
      291    0.001    0.000    0.081    0.000 re.py:289(_compile)
      277    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      277    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      277    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      277    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      272    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      264    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      263    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      259    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      258    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      249    0.000    0.000    0.000    0.000 typing.py:742(<genexpr>)
      238    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      237    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      237    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      236    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      235    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      232    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      223    0.000    0.000    0.000    0.000 types.py:171(__get__)
      223    0.000    0.000    0.000    0.000 enum.py:792(value)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      174    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
  174/143    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      167    0.000    0.000    0.000    0.000 typing.py:749(__eq__)
      163    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      160    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
      160    0.000    0.000    0.001    0.000 typing.py:137(_type_check)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      152    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      151    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      151    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      151    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      151    0.000    0.000    0.028    0.000 sre_compile.py:598(_code)
      151    0.001    0.000    0.079    0.001 sre_compile.py:759(compile)
      151    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
