('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         448159 function calls (432937 primitive calls) in 1.680 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
     79/4    0.000    0.000    0.157    0.039 <frozen importlib._bootstrap_external>:844(exec_module)
       79    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        6    0.000    0.000    0.191    0.032 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:111(TreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.069    0.069 __init__.py:120(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
     1856    0.000    0.000    0.000    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        3    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:139(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:189(initialize_soup)
        7    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:197(reset)
        3    0.000    0.000    0.130    0.043 __init__.py:2(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
     1262    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
        2    0.000    0.000    0.000    0.000 __init__.py:209(deprecated_argument)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:2178(createLock)
        9    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        9    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
      955    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.000    0.000 __init__.py:333(SAXTreeBuilder)
        8    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:35(XMLParsedAsHTMLWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:383(HTMLTreeBuilder)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
       45    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(TreeBuilderRegistry)
        2    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.068    0.068 __init__.py:444(_feed)
     1262    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 __init__.py:457(reset)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
      425    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
        1    0.000    0.000    0.000    0.000 __init__.py:496(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:51(register)
     1261    0.001    0.000    0.002    0.000 __init__.py:530(popTag)
     1262    0.002    0.000    0.002    0.000 __init__.py:544(pushTag)
        1    0.000    0.000    0.000    0.000 __init__.py:549(_initialize_xml_detector)
        2    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
     2527    0.001    0.000    0.005    0.000 __init__.py:558(endData)
        1    0.000    0.000    0.000    0.000 __init__.py:569(_root_tag_encountered)
        1    0.000    0.000    0.000    0.000 __init__.py:581(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:589(register_treebuilders_from)
      425    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
       28    0.000    0.000    0.000    0.000 __init__.py:595(__missing__)
        1    0.000    0.000    0.000    0.000 __init__.py:601(ParserRejectedMarkup)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:62(GuessedAtParserWarning)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 __init__.py:649(update)
     1261    0.002    0.000    0.004    0.000 __init__.py:660(_popToTag)
        1    0.000    0.000    0.000    0.000 __init__.py:67(MarkupResemblesLocatorWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
     1261    0.003    0.000    0.018    0.000 __init__.py:694(handle_starttag)
        1    0.000    0.000    0.001    0.001 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:729(Filter)
     1261    0.001    0.000    0.009    0.000 __init__.py:735(handle_endtag)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BeautifulSoup)
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
        1    0.000    0.000    0.000    0.000 __init__.py:766(Filterer)
        6    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:784(BeautifulStoneSoup)
        1    0.000    0.000    0.000    0.000 __init__.py:797(StopParsing)
        1    0.000    0.000    0.000    0.000 __init__.py:801(FeatureNotFound)
        3    0.000    0.000    0.000    0.000 __init__.py:838(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:848(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:886(createLock)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.000    0.000 __init__.py:957(setFormatter)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __meta__.py:122(_is_pre)
        1    0.000    0.000    0.000    0.000 __meta__.py:127(_is_dev)
        1    0.000    0.000    0.000    0.000 __meta__.py:132(_is_post)
        1    0.000    0.000    0.000    0.000 __meta__.py:142(_get_canonical)
        1    0.000    0.000    0.000    0.000 __meta__.py:39(Version)
        1    0.000    0.000    0.000    0.000 __meta__.py:82(__new__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:504(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:767(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:779(items)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
       62    0.000    0.000    0.000    0.000 _collections_abc.py:849(__iter__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
